id;date;time;name;description;refree;live_stream_url;wheater;wind;analysis;pre_match_talk;post_match_talk
1;2019-11-28T00:46:01;2019-11-28T10:20:30;SMTP;Checking Account global Steel;Borders Springs connecting;SAS;Planner Refined;engage Granite Grocery;bluetooth payment digital;Rubber Industrial seamless;withdrawal Jamaica
2;2019-11-28T13:07:51;2019-11-27T17:36:55;real-time Berkshire solid state;middleware Switzerland;Data Granite Configuration;compress Practical Steel Chips;Berkshire concept;Illinois robust;Granite Rubber;enable;deposit Chicken best-of-breed
3;2019-11-27T17:47:32;2019-11-27T18:19:54;Buckinghamshire Officer;teal Licensed Wooden Pants;e-business;Awesome;Kiribati;cyan innovative;open architecture alliance;online;Bulgarian Lev Cambridgeshire
4;2019-11-28T11:32:51;2019-11-27T17:12:51;Small Plastic Pizza primary;Savings Account Manager Guyana;Bedfordshire Auto Loan Account back-end;monitor Small Wooden Ball;feed;connecting generate Music;Inlet Hungary Configurable;interface;Toys
5;2019-11-28T07:35:07;2019-11-27T19:08:17;Incredible;Concrete National;Ranch impactful;Berkshire Awesome;pixel Pennsylvania;architectures Cotton;viral;payment Illinois dot-com;methodology Integration Music
6;2019-11-28T09:54:25;2019-11-28T11:38:47;Multi-tiered Pizza;Gorgeous;Car Internal Small;Grocery Rand Namibia Dollar;Fresh incubate Agent;Jewelery Engineer Bedfordshire;Tanzanian Shilling Assurance Nebraska;Gardens synthesizing;silver
7;2019-11-28T07:32:48;2019-11-27T22:15:08;tan program;Metal Auto Loan Account;Awesome;Sausages Haven;Checking Account frictionless;Rubber Awesome Frozen Mouse;Trinidad and Tobago Dollar;Customer-focused;Shoes Rubber Mall
8;2019-11-28T00:46:07;2019-11-28T05:25:51;scalable Configuration calculating;infrastructures Mobility Representative;Shirt;Mobility;Arizona synthesizing Fresh;override back-end hacking;open-source;payment National;HDD
9;2019-11-28T05:53:47;2019-11-27T22:55:25;Lights interface Central;intranet index;Idaho customized;synthesize Bahrain;Pre-emptive Bouvet Island (Bouvetoya) experiences;Credit Card Account;Belize Dollar Bacon;Investment Account Rwanda Customer;Liaison copy program
10;2019-11-27T20:37:46;2019-11-27T21:27:38;Electronics;application Cambridgeshire;scalable connecting Fantastic;Creek Investment Account Buckinghamshire;Shoes Intuitive;synthesize Baby Credit Card Account;Portugal Persistent;hacking Interactions;Idaho strategize
