id;description;formation;analysis;pre_match_talk;post_match_talk
1;Sleek Beauty Auto Loan Account;FOURFOURTWO;extend Unbranded Fresh Pants Tools;Practical North Dakota;implementation
2;Wallis and Futuna;FOURONETWOTHREE;Computers Small Fresh Gloves back-end;interface;compress lavender Investment Account
3;backing up;FOURFOURTWO;Philippine Peso Metal;Strategist;card Licensed Cotton Ball
4;mindshare Gorgeous;FOURONETWOTHREE;navigating;Som Rustic Frozen Keyboard ROI;Benin
5;Tuna Response invoice;FOURFOURTWO;system Gorgeous Rubber Pants;hack;leading-edge
6;Ergonomic Steel Gloves;FOURONETWOTHREE;Buckinghamshire Hollow Shoes;withdrawal Generic Frozen Tuna;Gorgeous Cotton Chair Personal Loan Account Borders
7;Norfolk Island Chilean Peso Unidades de fomento Checking Account;FOURFOURTWO;multi-byte Jamaican Dollar North Carolina;Station;parsing Investment Account
8;Branding Dynamic black;FOURFOURTWO;Books Generic;robust withdrawal generate;Garden open-source hybrid
9;Solomon Islands Dollar;FOURONETWOTHREE;schemas Specialist China;quantify multi-byte;interface Cotton Robust
10;user-centric Infrastructure;FOURONETWOTHREE;Fantastic;Liechtenstein Buckinghamshire monetize;Direct
