id;title;description;commentary_type;minute;log_date
1;mobile Fish;Home Loan Account Table Computer;HIGHLIGHT;33370;2019-11-28T00:53:18
2;alarm;Tasty Metal Bacon;HIGHLIGHT;30424;2019-11-28T00:38:07
3;Grocery Home;Investment Account Steel;HIGHLIGHT;23277;2019-11-28T04:22:10
4;bluetooth;syndicate;FULL;6505;2019-11-28T14:59:47
5;Usability South Dakota envisioneer;Intelligent;HIGHLIGHT;83319;2019-11-28T14:29:22
6;Regional;Tuna;HIGHLIGHT;18485;2019-11-28T14:33:48
7;synthesizing Views e-enable;Credit Card Account National Awesome;FULL;96117;2019-11-28T07:30:25
8;scale interactive generating;Specialist Home Loan Account;FULL;80219;2019-11-28T11:20:55
9;Industrial;index orange;FULL;19884;2019-11-27T22:21:02
10;application quantify Unbranded Plastic Tuna;Internal;FULL;32518;2019-11-27T23:19:58
