id;description;formation;analysis;pre_match_talk;post_match_talk
1;Small Frozen Salad bypassing;FOURFOURTWO;Borders Borders Practical;methodical;Pakistan
2;parse;FOURFOURTWO;Tasty Rubber Car mindshare EXE;bandwidth Liaison;program Auto Loan Account Refined
3;infomediaries;FOURFOURTWO;Steel Avon Visionary;exploit transition;User-centric Principal Pennsylvania
4;repurpose Sleek;FOURFOURTWO;Cotton;Advanced grow;Handmade Wooden Cheese Fresh
5;input Naira;FOURFOURTWO;Glen Refined;Mandatory Assistant;Strategist
6;Incredible Fresh Car Tuvalu;FOURFOURTWO;Central African Republic;magenta heuristic;Credit Card Account Maryland Legacy
7;Product;FOURFOURTWO;B2B Mouse;Junctions one-to-one;analyzing holistic
8;Architect;FOURONETWOTHREE;Pound Sterling Keyboard;Licensed Usability models;Personal Loan Account markets
9;SCSI Aruba Chair;FOURFOURTWO;Liaison engage navigate;Assistant generating;Practical Steel Shirt Plastic Movies
10;SMS;FOURFOURTWO;input Accounts;enhance Multi-channelled purple;Response
